,지점,지점명,일시,평균기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),일조율(%),최심적설(cm),평균지면온도(°C),years,month
20,90,속초,2016-09,20.4,1012.1,1014.2,20.7,87.0,126.0,1.5,34.86,0.0,22.0,2016,9
21,90,속초,2016-10,15.3,1017.0,1019.1,13.3,75.0,128.5,1.7,40.55,0.0,15.6,2016,10
22,90,속초,2016-11,8.4,1019.4,1021.6,6.9,60.0,40.8,1.8,56.74,0.0,7.7,2016,11
23,90,속초,2016-12,4.4,1019.9,1022.2,4.7,56.0,121.7,1.9,55.62,0.0,3.4,2016,12
24,90,속초,2017-01,0.8,1020.2,1022.5,3.4,50.0,82.4,1.9,70.48,0.0,0.8,2017,1
25,90,속초,2017-02,3.0,1017.8,1020.0,3.5,44.0,3.2,2.0,73.58,0.0,2.5,2017,2
26,90,속초,2017-03,7.0,1015.9,1018.1,5.6,57.0,48.7,1.9,53.83,0.0,8.0,2017,3
27,90,속초,2017-04,14.8,1008.9,1011.1,8.9,56.0,46.8,2.3,64.38,0.0,17.4,2017,4
28,90,속초,2017-05,18.7,1008.0,1010.1,12.8,62.0,25.2,2.0,61.61,0.0,25.0,2017,5
29,90,속초,2017-06,19.8,1006.2,1008.3,18.2,79.0,69.7,1.7,46.18,0.0,25.5,2017,6
30,90,속초,2017-07,25.6,1004.7,1006.7,26.0,81.0,270.3,1.2,36.71,0.0,27.7,2017,7
31,90,속초,2017-08,23.7,1006.2,1008.3,24.6,84.0,424.9,1.1,25.39,0.0,25.8,2017,8
32,90,속초,2017-09,20.8,1010.6,1012.7,17.2,71.0,50.5,1.6,66.77,0.0,23.7,2017,9
33,90,속초,2017-10,14.5,1019.0,1021.2,12.5,74.0,135.4,1.7,45.39,0.0,16.2,2017,10
34,90,속초,2017-11,7.8,1017.7,1019.9,5.1,43.0,41.2,2.2,71.88,0.0,7.2,2017,11
35,90,속초,2017-12,0.7,1019.9,1022.2,2.7,38.0,9.9,2.2,77.75,0.0,-0.5,2017,12
36,90,속초,2018-01,-1.4,1018.5,1020.8,2.3,37.0,3.9,2.0,70.26,0.0,-0.9,2018,1
37,90,속초,2018-02,-0.5,1018.8,1021.1,2.8,43.0,54.4,2.1,72.4,0.0,0.6,2018,2
38,90,속초,2018-03,8.0,1017.3,1019.5,6.2,59.0,55.0,2.2,46.17,0.0,8.5,2018,3
39,90,속초,2018-04,13.0,1012.2,1014.4,7.9,57.0,141.7,2.3,57.47,0.0,14.9,2018,4
40,90,속초,2018-05,15.9,1009.0,1011.1,13.1,75.0,123.6,2.0,42.2,0.0,19.1,2018,5
41,90,속초,2018-06,21.3,1005.3,1007.4,17.7,72.0,46.5,1.7,47.1,0.0,26.9,2018,6
42,90,속초,2018-07,25.0,1006.9,1009.0,25.7,82.0,185.4,1.6,46.45,0.0,29.4,2018,7
43,90,속초,2018-08,25.6,1005.9,1007.9,26.9,82.0,625.0,1.6,43.85,0.0,28.6,2018,8
44,90,속초,2018-09,20.0,1011.6,1013.7,17.0,73.0,66.1,1.5,52.52,0.0,23.2,2018,9
45,90,속초,2018-10,13.5,1015.7,1017.9,9.6,61.0,257.6,1.8,65.99,0.0,14.1,2018,10
46,90,속초,2018-11,9.2,1020.1,1022.3,7.0,57.0,207.4,1.6,54.47,0.0,7.8,2018,11
47,90,속초,2018-12,1.6,1022.5,1024.8,3.3,42.0,10.4,1.8,70.2,0.0,0.8,2018,12
48,90,속초,2019-01,1.7,1020.4,1022.7,2.4,35.0,8.7,1.9,76.02,0.0,1.3,2019,1
49,90,속초,2019-02,2.5,1020.0,1022.3,3.7,49.0,27.6,1.8,71.38,0.0,2.6,2019,2
50,90,속초,2019-03,8.2,1012.9,1015.1,5.4,51.0,44.4,2.1,62.93,0.0,8.4,2019,3
51,90,속초,2019-04,11.9,1011.9,1014.1,7.5,55.0,80.9,2.1,58.27,0.0,13.5,2019,4
52,90,속초,2019-05,19.8,1007.6,1009.7,11.2,52.0,5.7,2.2,67.06,0.0,24.1,2019,5
53,90,속초,2019-06,20.0,1005.1,1007.2,18.1,78.0,97.8,1.8,50.72,0.0,24.3,2019,6
54,90,속초,2019-07,24.7,1004.0,1006.0,24.4,80.0,234.4,1.7,43.49,0.0,27.4,2019,7
55,90,속초,2019-08,25.7,1004.7,1006.7,25.6,78.0,293.5,1.7,54.58,0.0,28.4,2019,8
56,90,속초,2019-09,20.9,1013.6,1015.6,19.5,79.0,209.9,1.5,38.85,0.0,22.7,2019,9
57,90,속초,2019-10,16.1,1016.7,1018.8,12.6,68.0,185.5,1.9,45.33,0.0,16.1,2019,10
58,90,속초,2019-11,9.4,1018.9,1021.1,6.9,57.0,157.3,1.8,61.42,0.0,8.7,2019,11
59,90,속초,2019-12,4.2,1020.6,1022.7,3.9,45.0,9.8,1.9,65.71,0.0,2.6,2019,12
60,90,속초,2020-01,3.4,1019.7,1021.9,4.2,53.0,148.1,2.1,53.52,0.0,2.3,2020,1
61,90,속초,2020-02,4.1,1020.3,1022.5,4.6,53.0,55.8,2.0,62.11,0.0,3.8,2020,2
62,90,속초,2020-03,7.9,1013.6,1015.8,6.0,56.0,38.0,2.4,71.0,0.0,8.6,2020,3
63,90,속초,2020-04,11.3,1013.3,1015.4,6.5,50.0,38.4,2.5,64.55,0.0,13.9,2020,4
64,90,속초,2020-05,17.1,1007.4,1009.4,13.1,70.0,245.1,2.2,49.42,0.0,20.0,2020,5
65,90,속초,2020-06,22.2,1003.6,1005.6,19.1,74.0,271.9,2.2,53.85,0.0,28.2,2020,6
66,90,속초,2020-07,21.6,1005.8,1007.8,21.9,85.0,374.7,1.9,37.41,0.0,25.4,2020,7
67,90,속초,2020-08,25.7,1005.8,1007.8,26.5,82.0,411.3,1.4,30.43,0.0,26.8,2020,8
68,90,속초,2020-09,20.1,1010.0,1012.0,17.5,75.0,482.8,2.2,40.91,0.0,21.3,2020,9
69,90,속초,2020-10,14.3,1017.5,1019.6,9.8,60.0,0.0,1.7,66.66,0.0,16.0,2020,10
70,90,속초,2020-11,10.0,1020.2,1022.4,6.1,47.0,19.2,2.0,67.38,0.0,10.0,2020,11
71,90,속초,2020-12,1.8,1020.8,1023.0,2.7,35.0,0.5,2.1,77.08,0.0,1.6,2020,12
72,90,속초,2021-01,-1.2,1019.9,1022.2,2.9,43.0,0.0,2.3,65.58,0.0,-0.3,2021,1
73,90,속초,2021-02,3.1,1016.3,1018.5,4.2,51.0,5.0,2.3,70.93,0.0,4.5,2021,2
74,90,속초,2021-03,8.0,1016.8,1018.9,6.6,64.0,104.2,2.0,56.29,0.0,8.4,2021,3
75,90,속초,2021-04,12.3,1016.0,1018.1,8.5,61.0,97.2,2.3,57.62,0.0,14.7,2021,4
76,90,속초,2021-05,16.7,1005.8,1007.8,11.6,63.0,154.9,2.1,54.21,0.0,19.8,2021,5
77,90,속초,2021-06,20.3,1006.1,1008.1,18.9,81.0,43.8,1.7,41.89,0.0,23.3,2021,6
78,90,속초,2021-07,25.5,1006.9,1008.9,27.5,85.0,104.1,1.5,59.92,0.0,33.3,2021,7
79,90,속초,2021-08,24.4,1006.9,1008.9,24.3,80.0,247.1,1.6,31.51,0.0,27.2,2021,8
80,90,속초,2021-09,20.9,1012.7,1014.7,19.6,80.0,141.6,1.7,52.49,0.0,23.9,2021,9
81,90,속초,2021-10,15.5,1018.9,1021.0,12.7,69.0,216.9,1.8,50.09,0.0,16.1,2021,10
82,90,속초,2021-11,9.9,1015.1,1017.2,6.5,50.0,16.2,2.2,70.99,0.0,9.2,2021,11
83,90,속초,2021-12,2.8,1019.6,1021.9,3.8,47.0,68.7,2.2,74.21,0.0,2.7,2021,12
84,90,속초,2022-01,-0.6,1020.5,1022.7,2.9,48.0,3.6,1.9,74.37,0.0,0.2,2022,1
85,90,속초,2022-02,0.3,1020.5,1022.7,2.7,40.0,11.1,2.3,80.76,0.0,0.5,2022,2
86,90,속초,2022-03,7.1,1014.4,1016.6,6.0,61.0,114.5,2.1,51.08,0.0,7.2,2022,3
87,90,속초,2022-04,14.2,1013.6,1015.7,8.4,55.0,33.5,2.3,67.93,0.0,16.2,2022,4
88,90,속초,2022-05,18.5,1008.4,1010.5,11.0,54.0,9.1,2.2,70.76,0.0,24.0,2022,5
89,90,속초,2022-06,20.9,1005.4,1007.4,19.3,79.0,248.7,1.9,38.26,0.0,24.8,2022,6
90,90,속초,2022-07,24.3,1004.4,1006.4,26.4,88.0,213.1,1.5,30.07,0.0,28.5,2022,7
91,90,속초,2022-08,24.6,1004.4,1006.4,25.2,81.0,323.7,1.3,35.75,0.0,27.2,2022,8
92,90,속초,2022-09,20.3,1012.3,1014.3,18.2,76.0,263.8,1.8,54.55,0.0,22.7,2022,9
93,90,속초,2022-10,13.9,1019.1,1021.3,11.2,70.0,377.1,1.8,44.22,0.0,14.6,2022,10
94,90,속초,2022-11,11.0,1017.6,1019.8,7.5,55.0,38.4,1.9,65.35,0.0,9.7,2022,11
95,90,속초,2022-12,-0.2,1019.3,1021.5,2.2,35.0,0.7,2.4,78.81,0.0,-0.1,2022,12
96,90,속초,2023-01,0.2,1019.9,1022.1,3.0,45.0,94.7,2.0,70.65,0.0,0.1,2023,1
97,90,속초,2023-02,2.7,1022.3,1024.5,3.8,53.0,43.4,1.9,61.89,0.0,1.4,2023,2
98,90,속초,2023-03,9.3,1016.9,1019.0,6.2,54.0,10.1,2.1,60.46,0.0,9.2,2023,3
99,90,속초,2023-04,12.6,1011.6,1013.7,8.6,61.0,57.0,2.2,53.61,0.0,13.9,2023,4
100,90,속초,2023-05,17.0,1010.9,1013.0,12.5,67.0,81.0,1.9,52.66,0.0,21.2,2023,5
101,90,속초,2023-06,21.9,1004.5,1006.5,18.9,74.0,200.1,1.8,55.26,0.0,26.1,2023,6
102,90,속초,2023-07,25.8,1004.6,1006.6,25.7,79.0,108.2,1.5,40.95,0.0,29.6,2023,7
103,90,속초,2023-08,24.7,1004.5,1006.5,26.1,85.0,669.6,1.4,47.36,0.0,28.5,2023,8
104,90,속초,2023-09,21.7,1011.8,1013.9,21.0,81.0,208.2,1.4,41.91,0.0,24.3,2023,9
105,90,속초,2023-10,16.4,1015.5,1017.5,10.9,59.0,31.4,1.8,62.69,0.0,16.4,2023,10
106,90,속초,2023-11,8.8,1016.5,1018.6,6.2,48.0,60.1,2.4,68.58,0.0,8.2,2023,11
107,90,속초,2023-12,2.3,1020.7,1023.0,4.5,56.0,205.0,2.3,58.72,0.0,1.6,2023,12
108,90,속초,2024-01,0.6,1021.2,1023.4,3.5,53.0,11.6,2.0,66.64,0.0,0.3,2024,1
109,90,속초,2024-02,1.9,1023.1,1025.3,5.3,75.0,125.7,1.7,35.1,0.0,2.2,2024,2
110,90,속초,2024-03,5.7,1015.2,1017.3,5.3,58.0,58.6,2.2,57.32,0.0,6.6,2024,3
111,90,속초,2024-04,13.9,1012.1,1014.1,10.2,66.0,63.4,2.2,52.74,0.0,15.3,2024,4
112,90,속초,2024-05,17.8,1009.7,1011.8,11.9,61.0,63.4,2.6,59.13,0.0,19.0,2024,5
113,90,속초,2024-06,22.3,1004.8,1006.9,19.4,74.0,133.8,2.1,63.08,0.0,25.5,2024,6
114,90,속초,2024-07,26.8,1003.1,1005.1,25.9,75.0,109.3,2.4,33.41,0.0,27.1,2024,7
115,90,속초,2024-08,27.6,1005.7,1007.7,28.7,79.0,46.4,2.1,54.29,0.0,30.5,2024,8
116,90,속초,2024-09,22.1,1012.7,1014.8,22.5,85.0,457.9,2.2,30.63,0.0,23.3,2024,9
117,90,속초,2024-10,16.1,1018.2,1020.3,13.6,74.0,143.2,2.1,37.98,0.0,15.5,2024,10
118,90,속초,2024-11,10.8,1018.8,1020.9,8.5,61.0,17.6,2.5,55.68,0.0,8.7,2024,11
119,90,속초,2024-12,3.1,1017.8,1020.0,2.8,36.0,3.2,2.8,75.03,0.0,0.5,2024,12
120,93,북춘천,2016-10,14.1,1008.2,1019.2,12.0,74.0,112.1,0.9,53.29,0.0,15.7,2016,10
121,93,북춘천,2016-11,5.1,1011.4,1023.2,6.5,71.0,13.2,0.9,48.44,0.5,6.2,2016,11
122,93,북춘천,2016-12,-0.2,1012.9,1025.1,4.5,74.0,83.1,0.8,47.8,1.0,0.6,2016,12
123,93,북춘천,2017-01,-3.4,1013.1,1025.4,3.3,66.0,15.9,1.1,66.6,10.7,-1.9,2017,1
124,93,북춘천,2017-02,-1.5,1010.9,1023.1,3.4,64.0,11.0,1.2,71.04,8.3,-0.4,2017,2
125,93,북춘천,2017-03,4.6,1007.5,1019.4,4.8,59.0,17.9,1.3,57.24,0.0,5.8,2017,3
126,93,북춘천,2017-04,13.2,1001.1,1012.5,7.6,55.0,54.1,1.9,65.01,0.0,15.0,2017,4
127,93,북춘천,2017-05,18.6,1000.4,1011.5,11.3,56.0,25.5,1.8,63.49,0.0,21.8,2017,5
128,93,북춘천,2017-06,22.3,997.1,1008.1,15.2,59.0,38.1,1.5,61.23,0.0,26.7,2017,6
129,93,북춘천,2017-07,26.3,996.5,1007.3,25.9,78.0,477.8,1.0,28.13,0.0,28.4,2017,7
130,93,북춘천,2017-08,24.4,997.1,1007.9,22.9,76.0,376.3,1.1,35.65,0.0,27.2,2017,8
131,93,북춘천,2017-09,19.1,1002.4,1013.5,15.9,74.0,33.8,1.1,59.06,0.0,22.6,2017,9
132,93,북춘천,2017-10,13.5,1009.9,1021.4,11.4,74.0,42.6,1.1,56.61,0.0,15.7,2017,10
133,93,북춘천,2017-11,3.2,1011.0,1022.9,5.5,67.0,15.9,1.2,60.83,2.9,4.6,2017,11
134,93,북춘천,2017-12,-4.3,1013.5,1025.9,3.1,67.0,24.5,1.2,61.72,6.3,-1.3,2017,12
135,93,북춘천,2018-01,-6.0,1011.9,1024.3,2.6,60.0,6.5,1.3,66.23,5.0,-3.4,2018,1
136,93,북춘천,2018-02,-3.4,1011.2,1023.4,2.5,53.0,33.0,1.5,70.86,7.6,-2.2,2018,2
137,93,북춘천,2018-03,7.0,1008.8,1020.6,6.1,61.0,32.0,1.8,55.07,0.0,7.5,2018,3
138,93,북춘천,2018-04,12.0,1004.2,1015.7,7.9,60.0,117.2,1.9,55.3,1.5,14.0,2018,4
139,93,북춘천,2018-05,17.2,1000.3,1011.5,12.6,66.0,200.5,1.7,52.89,0.0,20.2,2018,5
140,93,북춘천,2018-06,22.6,996.8,1007.7,16.3,63.0,88.6,1.5,57.08,0.0,28.4,2018,6
141,93,북춘천,2018-08,26.9,996.6,1007.4,23.5,69.0,354.6,1.3,52.83,0.0,31.7,2018,8
142,93,북춘천,2018-09,19.1,1002.6,1013.8,15.3,72.0,63.0,1.1,55.05,0.0,22.8,2018,9
143,93,북춘천,2018-10,10.3,1007.7,1019.3,9.2,75.0,102.6,1.1,57.54,0.0,12.8,2018,10
144,93,북춘천,2018-11,5.1,1012.2,1024.0,6.6,75.0,56.9,0.7,48.61,8.5,6.4,2018,11
145,93,북춘천,2018-12,-3.2,1015.4,1027.7,3.2,62.0,17.3,1.0,65.42,2.6,-1.7,2018,12
146,93,북춘천,2019-01,-3.9,1013.8,1026.2,2.5,56.0,0.2,1.0,74.78,0.0,-3.3,2019,1
147,93,북춘천,2019-02,-0.6,1012.3,1024.4,3.4,59.0,27.5,0.9,66.82,4.0,0.7,2019,2
148,93,북춘천,2019-03,5.0,1005.4,1017.2,4.8,58.0,30.9,1.4,53.82,0.0,6.3,2019,3
149,93,북춘천,2019-04,10.6,1003.7,1015.2,7.0,57.0,49.7,1.5,52.09,0.0,13.2,2019,4
150,93,북춘천,2019-05,18.3,1000.1,1011.3,10.6,55.0,31.4,1.6,67.74,0.0,23.2,2019,5
151,93,북춘천,2019-06,21.4,996.1,1007.1,17.6,72.0,88.7,1.2,53.06,0.0,26.4,2019,6
152,93,북춘천,2019-07,25.0,995.4,1006.2,24.4,78.0,252.2,1.2,31.24,0.0,28.6,2019,7
153,93,북춘천,2019-08,25.6,996.1,1006.9,25.6,80.0,186.6,1.1,52.33,0.0,29.4,2019,8
154,93,북춘천,2019-09,20.7,1004.4,1015.5,19.4,80.0,147.9,1.1,36.94,0.0,23.7,2019,9
155,93,북춘천,2019-10,14.0,1008.2,1019.6,12.5,78.0,48.4,1.0,54.34,0.0,16.5,2019,10
156,93,북춘천,2019-11,4.9,1011.5,1023.4,6.7,76.0,57.8,0.9,54.83,0.3,6.4,2019,11
157,93,북춘천,2019-12,-0.7,1014.0,1026.2,4.4,74.0,10.5,0.9,48.1,0.9,0.4,2019,12
158,93,북춘천,2020-01,-0.7,1012.1,1024.2,4.2,73.0,55.9,1.0,61.24,0.4,0.0,2020,1
159,93,북춘천,2020-02,0.7,1013.0,1025.1,4.6,69.0,35.3,1.2,58.61,1.8,2.6,2020,2
160,93,북춘천,2020-03,6.1,1005.7,1017.5,5.1,57.0,13.7,1.5,64.18,0.0,8.7,2020,3
161,93,북춘천,2020-04,9.7,1005.2,1016.8,5.9,52.0,17.0,1.9,65.0,0.0,14.2,2020,4
162,93,북춘천,2020-05,17.4,998.9,1010.1,13.6,72.0,122.2,1.5,43.89,0.0,21.5,2020,5
163,93,북춘천,2020-06,23.5,995.0,1005.8,19.9,72.0,79.1,1.5,50.85,0.0,30.1,2020,6
164,93,북춘천,2020-07,23.3,996.2,1007.1,22.7,81.0,183.6,1.3,31.24,0.0,26.5,2020,7
165,93,북춘천,2020-08,25.6,997.7,1008.5,29.2,90.0,821.2,1.0,21.92,0.0,27.1,2020,8
166,93,북춘천,2020-09,19.0,1001.3,1012.5,18.2,84.0,153.1,1.3,43.64,0.0,21.4,2020,9
167,93,북춘천,2020-10,10.9,1009.7,1021.3,10.1,78.0,0.3,0.9,63.72,0.0,14.6,2020,10
168,93,북춘천,2020-11,5.3,1013.4,1025.3,6.7,73.0,75.2,1.2,59.51,0.0,6.9,2020,11
169,93,북춘천,2020-12,-3.6,1014.6,1027.0,3.4,69.0,4.8,0.9,66.5,6.2,-2.2,2020,12
170,93,북춘천,2021-01,-5.7,1013.0,1025.4,3.1,68.0,14.3,1.0,59.23,4.9,-3.6,2021,1
171,93,북춘천,2021-02,0.4,1009.4,1021.5,4.0,61.0,5.6,1.5,69.65,8.9,1.3,2021,2
172,93,북춘천,2021-03,7.1,1008.3,1020.1,6.5,68.0,100.1,1.3,58.5,9.8,8.9,2021,3
173,93,북춘천,2021-04,12.4,1007.0,1018.6,8.1,61.0,110.2,1.5,56.97,0.0,15.5,2021,4
174,93,북춘천,2021-05,15.6,997.9,1009.1,12.9,75.0,159.3,1.4,43.13,0.0,18.8,2021,5
175,93,북춘천,2021-06,21.6,997.0,1007.9,19.5,78.0,128.1,1.2,42.13,0.0,24.8,2021,6
176,93,북춘천,2021-07,26.7,997.5,1008.3,27.1,80.0,202.0,1.0,56.01,0.0,32.2,2021,7
177,93,북춘천,2021-08,24.3,998.1,1009.0,24.6,82.0,122.5,1.1,36.54,0.0,28.1,2021,8
178,93,북춘천,2021-09,20.7,1003.2,1014.3,18.7,79.0,103.7,1.1,50.56,0.0,23.5,2021,9
179,93,북춘천,2021-10,13.1,1010.5,1022.0,13.2,83.0,64.4,0.9,46.06,0.0,15.0,2021,10
180,93,북춘천,2021-11,5.3,1008.2,1020.1,6.9,75.0,49.8,1.2,53.55,0.0,5.7,2021,11
181,93,북춘천,2021-12,-2.2,1013.4,1025.7,4.0,72.0,5.2,1.1,58.36,6.4,-1.1,2021,12
182,93,북춘천,2022-01,-5.1,1013.4,1025.8,2.8,65.0,1.9,0.8,71.52,3.2,-3.7,2022,1
183,93,북춘천,2022-02,-3.5,1013.7,1026.0,2.6,55.0,6.3,1.5,74.13,1.4,-1.6,2022,2
184,93,북춘천,2022-03,5.7,1006.1,1017.9,6.1,66.0,88.3,1.4,52.72,0.4,6.4,2022,3
185,93,북춘천,2022-04,13.0,1005.7,1017.2,8.0,56.0,27.7,1.7,66.78,0.0,16.5,2022,4
186,93,북춘천,2022-05,17.2,1001.0,1012.2,11.2,60.0,8.1,1.7,63.79,0.0,22.7,2022,5
187,93,북춘천,2022-06,21.9,996.6,1007.6,20.5,78.0,386.5,1.3,32.22,0.0,24.8,2022,6
188,93,북춘천,2022-07,26.0,995.1,1005.9,27.9,85.0,223.8,1.0,38.84,0.0,29.8,2022,7
189,93,북춘천,2022-08,24.5,996.3,1007.2,26.9,88.0,418.4,1.0,29.88,0.0,27.3,2022,8
190,93,북춘천,2022-09,19.8,1003.3,1014.4,18.3,80.0,239.0,1.1,55.45,0.0,23.4,2022,9
191,93,북춘천,2022-10,11.8,1010.9,1022.5,11.3,81.0,116.1,1.0,53.52,0.0,14.0,2022,10
192,93,북춘천,2022-11,6.5,1010.4,1022.3,7.6,77.0,64.0,0.9,57.63,0.0,7.5,2022,11
193,93,북춘천,2022-12,-6.1,1013.4,1025.8,2.8,70.0,10.7,1.0,63.98,6.1,-2.5,2022,12
194,93,북춘천,2023-01,-5.2,1013.3,1025.8,3.3,75.0,43.8,0.8,59.8,7.3,-2.6,2023,1
195,93,북춘천,2023-02,-0.5,1014.4,1026.6,3.9,68.0,1.1,1.0,71.59,3.7,0.4,2023,2
196,93,북춘천,2023-03,7.4,1008.8,1020.6,5.6,57.0,8.4,1.3,73.58,0.0,8.9,2023,3
197,93,북춘천,2023-04,12.1,1003.6,1015.1,8.7,65.0,95.7,1.6,52.67,0.0,14.4,2023,4
198,93,북춘천,2023-05,17.7,1002.3,1013.5,13.2,69.0,112.4,1.4,63.84,0.0,22.0,2023,5
199,93,북춘천,2023-06,22.4,996.0,1007.0,20.3,77.0,280.7,1.3,54.88,0.0,26.9,2023,6
200,93,북춘천,2023-07,26.0,996.6,1007.4,27.9,85.0,318.1,1.1,42.9,0.0,29.0,2023,7
201,93,북춘천,2023-08,26.1,995.2,1006.0,27.3,83.0,203.6,1.1,48.05,0.0,30.1,2023,8
202,93,북춘천,2023-09,21.8,1002.8,1013.8,21.5,84.0,119.5,0.9,49.12,0.0,25.3,2023,9
203,93,북춘천,2023-10,12.3,1008.1,1019.6,11.6,82.0,25.9,0.8,56.26,0.0,14.9,2023,10
204,93,북춘천,2023-11,4.6,1010.1,1022.0,6.9,71.0,80.3,1.3,59.64,0.0,5.4,2023,11
205,93,북춘천,2023-12,-1.6,1013.6,1025.8,4.5,72.0,77.3,1.1,55.29,7.5,-0.8,2023,12
206,93,북춘천,2024-01,-2.8,1013.9,1026.2,3.4,66.0,8.9,1.1,62.06,3.4,-1.6,2024,1
207,93,북춘천,2024-02,1.8,1013.6,1025.7,4.8,69.0,45.0,1.1,45.56,4.0,2.5,2024,2
208,93,북춘천,2024-03,4.9,1006.8,1018.7,4.6,55.0,40.9,1.5,59.04,3.2,6.5,2024,3
209,93,북춘천,2024-04,14.7,1003.0,1014.4,9.5,60.0,27.6,1.4,59.42,0.0,17.1,2024,4
210,93,북춘천,2024-05,17.2,1002.0,1013.2,12.8,69.0,126.9,1.4,59.04,0.0,21.3,2024,5
211,93,북춘천,2024-06,23.3,996.6,1007.5,18.7,69.0,124.5,1.3,67.65,0.0,30.1,2024,6
212,93,북춘천,2024-07,25.9,995.7,1006.5,28.3,86.0,411.1,1.4,33.18,0.0,28.2,2024,7
213,93,북춘천,2024-08,28.0,996.7,1007.5,29.6,80.0,92.7,1.1,61.1,0.0,32.8,2024,8
214,93,북춘천,2024-09,23.2,1003.1,1014.1,23.0,81.0,184.9,1.0,51.48,0.0,26.6,2024,9
215,93,북춘천,2024-10,14.0,1009.6,1021.1,13.0,82.0,68.5,0.9,47.67,0.0,16.6,2024,10
216,93,북춘천,2024-11,7.1,1010.9,1022.7,7.8,75.0,27.7,1.0,66.15,0.9,8.2,2024,11
217,93,북춘천,2024-12,-2.4,1011.8,1024.0,3.3,63.0,3.6,1.0,70.46,4.0,-1.7,2024,12
218,95,철원,2015-01,-4.0,1005.3,1025.0,3.2,67.0,17.0,1.1,60.6,7.5,-2.6,2015,1
219,95,철원,2015-02,-1.3,1002.8,1022.3,3.7,64.0,24.0,1.4,57.29,0.0,-0.3,2015,2
220,95,철원,2015-03,4.0,1002.2,1021.3,3.7,47.0,7.8,1.8,71.95,0.0,5.3,2015,3
221,95,철원,2015-04,11.3,997.6,1016.1,6.9,56.0,98.3,2.2,57.61,0.0,13.1,2015,4
222,95,철원,2015-05,17.6,991.2,1009.1,10.3,55.0,35.8,1.9,67.54,0.0,22.4,2015,5
223,95,철원,2015-06,21.6,989.3,1006.8,15.8,65.0,79.6,1.8,61.96,0.0,28.0,2015,6
224,95,철원,2015-07,23.8,989.3,1006.7,22.1,76.0,458.0,2.0,43.9,0.0,27.2,2015,7
225,95,철원,2015-08,24.1,991.0,1008.4,23.5,80.0,140.6,1.6,58.33,0.0,27.2,2015,8
226,95,철원,2015-09,18.9,996.8,1014.7,14.7,71.0,32.7,1.6,68.66,0.0,22.9,2015,9
227,95,철원,2015-10,12.3,1000.2,1018.6,9.8,70.0,64.0,1.3,66.21,0.0,13.9,2015,10
228,95,철원,2015-11,6.6,1005.2,1024.1,7.9,78.0,111.5,1.9,33.2,0.0,7.4,2015,11
